date,quarter,product_category,revenue,units_sold,region
2025-01-15,Q1,AI Hardware,120000,120,APAC
2025-02-10,Q1,AI Software,95000,210,APAC
2025-03-05,Q1,Cloud Services,110000,180,APAC
2025-01-20,Q1,AI Hardware,100000,100,EMEA
2025-02-18,Q1,AI Software,88000,190,EMEA
2025-03-12,Q1,Cloud Services,105000,170,EMEA
2025-04-10,Q2,AI Hardware,165000,150,APAC
2025-05-08,Q2,AI Software,102000,230,APAC
2025-06-02,Q2,Cloud Services,120000,185,APAC
2025-04-15,Q2,AI Hardware,140000,130,EMEA
2025-05-12,Q2,AI Software,97000,205,EMEA
2025-06-09,Q2,Cloud Services,112000,175,EMEA